index,UF,ano,idade,sexo,escola,cor_raca,NOTA_LC,NOTA_MT,NOTA_CN,NOTA_CH,NOTA_REDACAO
371,CE,2016,32.0,M,1,0,588.8,696.2,589.5,632.9,420.0
372,BA,2016,18.0,M,3,1,682.6,624.9,641.0,681.0,780.0
373,MG,2016,20.0,F,1,3,617.2,589.9,562.2,556.9,740.0
374,MG,2016,29.0,M,1,3,,,,,
375,SP,2016,15.0,M,1,1,362.0,565.2,428.4,559.4,500.0
376,RS,2016,31.0,M,1,1,,,,,
377,DF,2016,19.0,M,1,3,615.3,690.0,586.4,640.3,620.0
378,RJ,2016,18.0,F,2,3,549.3,405.0,445.6,408.3,520.0
379,ES,2016,18.0,F,1,1,578.2,503.2,430.8,575.7,660.0
380,SP,2016,20.0,M,1,3,558.6,419.2,503.2,512.3,420.0
381,BA,2016,17.0,F,1,3,470.3,524.1,462.8,516.1,580.0
382,PR,2016,29.0,F,1,1,579.1,454.6,551.7,507.5,640.0
383,MG,2016,18.0,M,1,2,,,,,
384,GO,2016,17.0,F,1,3,,,,,
385,RS,2016,19.0,M,1,3,,,,,
386,MG,2016,17.0,F,2,3,528.9,385.3,514.1,568.2,480.0
387,BA,2016,21.0,F,1,3,634.9,643.5,657.5,691.5,960.0
388,SP,2016,19.0,F,1,2,,,,,
389,RS,2016,21.0,M,1,1,,,377.0,515.9,
390,BA,2016,17.0,M,1,3,460.5,481.3,451.2,450.8,0.0
391,RJ,2016,18.0,M,1,2,555.9,407.5,482.8,563.9,560.0
392,GO,2016,17.0,F,1,3,512.1,415.6,407.7,512.9,520.0
393,MG,2016,22.0,M,1,3,646.2,729.6,611.2,695.5,680.0
394,CE,2016,38.0,M,1,3,,,,,
395,PI,2016,17.0,M,1,2,475.7,449.1,469.8,416.6,380.0
396,MG,2016,24.0,F,1,3,552.9,591.0,485.2,533.5,640.0
397,AL,2016,21.0,M,1,3,515.8,503.7,493.0,579.5,540.0
398,AL,2016,16.0,F,1,3,453.9,388.2,388.8,391.6,440.0
399,PA,2016,19.0,F,2,3,,,,,
400,SP,2016,17.0,F,3,1,611.8,707.3,599.9,638.2,760.0
401,BA,2016,16.0,M,1,2,508.3,492.8,587.5,581.0,620.0
402,AL,2016,26.0,F,1,1,470.4,420.9,430.9,412.4,480.0
403,MA,2016,24.0,M,1,3,,,,,
404,SP,2016,20.0,F,2,1,499.9,474.3,420.7,433.7,560.0
405,MG,2016,16.0,M,1,3,,,,,
406,PI,2016,29.0,F,1,3,,,,,
407,MG,2016,21.0,F,1,3,495.9,447.7,387.9,524.4,360.0
408,PB,2016,20.0,M,1,3,571.4,447.3,444.3,422.9,440.0
409,RS,2016,16.0,M,1,1,575.3,608.6,567.5,620.3,440.0
410,RJ,2016,18.0,F,1,1,503.6,396.6,460.0,532.8,680.0
411,PA,2016,29.0,M,1,1,498.9,583.2,464.4,444.0,360.0
412,SP,2016,51.0,F,1,1,,,,,
413,SP,2016,34.0,F,1,3,,,,,
414,SP,2016,22.0,M,1,1,,,,,
415,CE,2016,16.0,F,1,3,386.7,349.9,425.5,446.3,520.0
